Product Name,Price,Description,Reviews
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1393 Ratings & 47 Reviews
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1393 Ratings & 47 Reviews
"SAMSUNG Galaxy Z Flip5 (Cream, 512 GB)","₹64,999",8 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4792 Ratings & 46 Reviews
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,41,999",12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.71,054 Ratings & 137 Reviews"
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3438 Ratings & 33 Reviews
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3438 Ratings & 33 Reviews
"SAMSUNG Galaxy Z Fold5 (Phantom Black, 512 GB)","₹1,69,999",12 GB RAM | 512 GB ROM15.75 cm (6.2 inch) Display50MP + 12MP + 10MP4400 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6503 Ratings & 27 Reviews
"SAMSUNG Galaxy Z Fold5 (Icy Blue, 256 GB)","₹96,999",12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Display50MP + 12MP + 10MP4400 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6503 Ratings & 27 Reviews
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",12 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.71,054 Ratings & 137 Reviews"
"SAMSUNG Galaxy S25 Plus 5G (Silver Shadow, 512 GB)","₹1,11,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.835 Ratings & 7 Reviews
"SAMSUNG Galaxy Z Fold5 (Cream, 512 GB)","₹1,01,999",12 GB RAM | 512 GB ROM15.75 cm (6.2 inch) Display50MP + 12MP + 10MP4400 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6503 Ratings & 27 Reviews
"SAMSUNG Galaxy Z Fold5 (Icy Blue, 512 GB)","₹1,01,999",12 GB RAM | 512 GB ROM15.75 cm (6.2 inch) Display50MP + 12MP + 10MP4400 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6503 Ratings & 27 Reviews
"SAMSUNG Galaxy Z Fold5 (Cream, 256 GB)","₹96,999",12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Display50MP + 12MP + 10MP4400 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6503 Ratings & 27 Reviews
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,29,999",12 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.71,054 Ratings & 137 Reviews"
"Apple iPhone 16 Pro (Natural Titanium, 128 GB)","₹1,12,900","128 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"Apple iPhone 16 Pro (Black Titanium, 256 GB)","₹1,22,900","256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"SAMSUNG Galaxy Z Flip5 (Graphite, 512 GB)","₹1,13,999",8 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4792 Ratings & 46 Reviews
"Apple iPhone 16 Pro (Desert Titanium, 256 GB)","₹1,22,900","256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"Apple iPhone 16 Plus (Ultramarine, 512 GB)","₹1,08,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.61,381 Ratings & 83 Reviews"
"SAMSUNG Galaxy S25 Plus 5G (Navy, 512 GB)","₹1,11,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.835 Ratings & 7 Reviews
"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)","₹1,35,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6565 Ratings & 42 Reviews
"Apple iPhone 16 Pro (White Titanium, 128 GB)","₹1,12,900","128 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"SAMSUNG Galaxy Z Flip5 (Mint, 512 GB)","₹64,999",8 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4792 Ratings & 46 Reviews
"Apple iPhone 16 Pro (Black Titanium, 128 GB)","₹1,12,900","128 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"Google Pixel 9 Pro (Porcelain, 256 GB)","₹1,09,999",16 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP + 48MP | 42MP Front Camera4700 mAh BatteryG4 Tensor Chip Processor1 Year Domestic Warranty,4.6305 Ratings & 48 Reviews
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,29,999",12 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.71,054 Ratings & 137 Reviews"
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1393 Ratings & 47 Reviews
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1393 Ratings & 47 Reviews
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,41,999",12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.71,054 Ratings & 137 Reviews"
"Apple iPhone 16 Pro (Desert Titanium, 512 GB)","₹1,42,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3438 Ratings & 33 Reviews
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3438 Ratings & 33 Reviews
"Google Pixel 9 Pro (Rose Quartz, 256 GB)","₹1,09,999",16 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP + 48MP | 42MP Front Camera4700 mAh BatteryG4 Tensor Chip Processor1 Year Domestic Warranty,4.6305 Ratings & 48 Reviews
"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)","₹1,35,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6565 Ratings & 42 Reviews
"Apple iPhone 16 Plus (Black, 512 GB)","₹1,08,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.61,381 Ratings & 83 Reviews"
"Apple iPhone 16 Pro (White Titanium, 512 GB)","₹1,42,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.71,145 Ratings & 66 Reviews"
"Google Pixel 9 Pro XL (Obsidian, 512 GB)","₹1,39,999",16 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Display50MP + 48MP + 48MP | 42MP Front Camera5060 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty,4.6620 Ratings & 56 Reviews
"Google Pixel 9 Pro (Hazel, 256 GB)","₹1,09,999",16 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP + 48MP | 42MP Front Camera4700 mAh BatteryG4 Tensor Chip Processor1 Year Domestic Warranty,4.6305 Ratings & 48 Reviews
"SAMSUNG Galaxy Z Fold5 (Icy Blue, 1 TB)","₹1,34,990",12 GB RAM | 1 TB ROM15.75 cm (6.2 inch) Display50MP + 12MP + 10MP4400 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6503 Ratings & 27 Reviews
"Apple iPhone 16 Plus (Teal, 512 GB)","₹1,08,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.61,381 Ratings & 83 Reviews"
"Motorola Razr (Black, 128 GB)","₹1,49,999",6 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Display16MP Rear Camera | 5MP Front Camera2510 mAh BatterySDM710 ProcessorInteractive Quick View DisplayFlippable and Pocket-Ready DesignBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.7198 Ratings & 15 Reviews
"Apple iPhone 16 Plus (Pink, 512 GB)","₹1,08,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","4.61,381 Ratings & 83 Reviews"
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,41,999",12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.71,054 Ratings & 137 Reviews"
"Google Pixel 9 Pro (Obsidian, 256 GB)","₹1,09,999",16 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP + 48MP | 42MP Front Camera4700 mAh BatteryG4 Tensor Chip Processor1 Year Domestic Warranty,4.6305 Ratings & 48 Reviews
"Apple iPhone 16 Pro Max (White Titanium, 256 GB)","₹1,35,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6565 Ratings & 42 Reviews
"Google Pixel 9 Pro XL (Hazel, 256 GB)","₹1,24,999",16 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 48MP + 48MP | 42MP Front Camera5060 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty,4.6620 Ratings & 56 Reviews
"SAMSUNG Galaxy Z Flip6 5G (Blue, 512 GB)","₹1,21,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4000 mAh Lithium ion BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5108 Ratings & 12 Reviews
"SAMSUNG Galaxy Z Flip6 5G (Mint, 256 GB)","₹1,09,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4000 mAh Lithium ion BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5108 Ratings & 12 Reviews
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Gray, 512 GB)","₹1,44,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.62,619 Ratings & 280 Reviews"
"Apple iPhone 12 Pro Max (Pacific Blue, 128 GB)","₹1,19,900","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode Portraits1 year warranty for phone and 1 year warranty for in Box Accessories.","4.51,275 Ratings & 101 Reviews"
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1393 Ratings & 47 Reviews
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1393 Ratings & 47 Reviews
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹1,34,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.62,619 Ratings & 280 Reviews"
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Violet, 512 GB)","₹1,44,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.62,619 Ratings & 280 Reviews"
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Yellow, 256 GB)","₹1,29,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.62,619 Ratings & 280 Reviews"
"Google Pixel 9 Pro XL (Rose Quartz, 256 GB)","₹1,24,999",16 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 48MP + 48MP | 42MP Front Camera5060 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty,4.6620 Ratings & 56 Reviews
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3438 Ratings & 33 Reviews
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3438 Ratings & 33 Reviews
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Black, 512 GB)","₹1,44,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"4.62,619 Ratings & 280 Reviews"
"vivo X200 Pro 5G (Titanium Grey, 512 GB)","₹94,999",16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP + 50MP + 200MP | 32MP Front Camera6000 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.7601 Ratings & 160 Reviews
